Symbol,Name,,,,,,,
GC=F,Gold Jun 21,,,,,,,
SI=F,Silver May 21,,,,,,,
HG=F,Copper May 21,,,,,,,
CL=F,Crude Oil Jun 21,,,,,,,
BZ=F,Brent Crude Oil Last Day Financ,,,,,,,
NG=F,Natural Gas May 21,,,,,,,
ZC=F,"Corn Futures,Jul-2021",,,,,,,
ZO=F,"Oat Futures,Jul-2021",,,,,,,
KE=F,"KC HRW Wheat Futures,Jul-2021",,,,,,,
ZR=F,"Rough Rice Futures,Jul-2021",,,,,,,
ZS=F,"Soybean Futures,Jul-2021",,,,,,,
GF=F,"Feeder Cattle Futures,Aug-2021",,,,,,,
HE=F,"Lean Hogs Futures,Jun-2021",,,,,,,
LE=F,"Live Cattle Futures,Jun-2021",,,,,,,
CC=F,Cocoa Jul 21,,,,,,,
KC=F,Coffee Jul 21,,,,,,,
CT=F,Cotton Jul 21,,,,,,,
LB=F,Lumber Nov 20,,,,,,,
OJ=F,Orange Juice Jul 21,,,,,,,
SB=F,Sugar #11 Jul 21,,,,,,,
