Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
,,,,,,,,,,,,,,,,,,,
SET1,FE10,ASHTEAD GROUP PLC,GB0000536739,0053673,DE,SHRS,GBX,TP_1,TM_47,GB,AHT,ASHTEAD GRP.,ORD 10P,750,1,5,109954549,111699860,14/12/2020
SET1,FE10,DIAGEO PLC,GB0002374006,0237400,DE,SHRS,GBX,TP_1,TM_48,GB,DGE,DIAGEO,ORD 28 101/108P,500,1,5,457795659,465062258,30/01/2018
SET1,FE10,BAE SYSTEMS PLC,GB0002634946,0263494,DE,SHRS,GBX,TP_1,TM_47,GB,BA.,BAE SYS.,ORD 2.5P,3000,1,5,124491580,126467637,16/09/2019
SET1,FE10,BRITISH AMERICAN TOBACCO PLC,GB0002875804,0287580,DE,SHRS,GBX,TP_1,TM_48,GB,BATS,BR.AMER.TOB.,ORD 25P,500,1,5,464909168,463064291,02/01/2018
SET1,FE10,STANDARD CHARTERED PLC,GB0004082847,0408284,DE,SHRS,GBX,TP_1,TM_47,GB,STAN,STAND.CHART.,ORD USD0.50,3000,1,5,146206332,148527068,14/09/2020
SET1,FE10,IMPERIAL BRANDS PLC,GB0004544929,0454492,DE,SHRS,GBX,TP_1,TM_47,GB,IMB,IMP.BRANDS,ORD 10P,750,1,5,224505536,223614642,14/12/2020
SET1,FE10,HSBC HLDGS PLC,GB0005405286,0540528,DE,SHRS,GBX,TP_1,TM_48,GB,HSBA,HSBC HLDGS.UK,ORD $0.50 (UK REG),3000,1,5,508121501,516186922,20/03/2018
SET1,FE10,LEGAL & GENERAL GROUP PLC,GB0005603997,0560399,DE,SHRS,GBX,TP_1,TM_47,GB,LGEN,LEGAL&GEN.,ORD 2 1/2P,7500,1,5,153022699,155451631,14/09/2020
SET1,FE10,ASSOCIATED BRITISH FOODS PLC,GB0006731235,0673123,DE,SHRS,GBX,TP_1,TM_47,GB,ABF,A.B.FOOD,ORD 5 15/22P,750,1,5,95180375,96691175,15/06/2020
SET1,FE10,PRUDENTIAL PLC,GB0007099541,0709954,DE,SHRS,GBX,TP_1,TM_47,GB,PRU,PRUDENTIAL,ORD 5P,1000,1,5,312654183,317616948,03/04/2018
SET1,FE10,RIO TINTO PLC,GB0007188757,0718875,DE,SHRS,GBX,TP_1,TM_48,GB,RIO,RIO TINTO,ORD 10P,300,1,5,516122872,514074765,22/03/2018
SET1,FE10,SSE PLC,GB0007908733,0790873,DE,SHRS,GBX,TP_1,TM_47,GB,SSE,SSE,ORD 50P,1500,1,5,155142801,157605386,16/03/2020
SET1,FE10,BP PLC,GB0007980591,0798059,DE,SHRS,GBX,TP_1,TM_48,GB,BP.,BP,$0.25,3000,1,5,649229145,646652839,02/01/2018
