Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,52.14,0.174,,,Real Estate,44
8Telecom,AZG,ETEL.SI,7.939,0.802,,,Technology Equipment,57
A-Smart,BQC,ASMA.SI,29.812,5.268,,,Industrial & Commercial Services,61
A-Sonic Aero,BTJ,ASON.SI,36.257,349.379,4.31,0.6,Transportation,57
ABR,533,ABRH.SI,130.647,85.975,21.67,3.08,Food & Beverages,56
Abterra,L5I,ABTR.SI,12.863,10.819,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,32.042,546.332,,,Industrial & Commercial Services,65
Accordia Golf Tr,ADQU,ACCO.SI,19.152,629.545,0.94,246.77,Cyclical Consumer Services,61.3
Accrelist Ltd,QZG,ACCR.SI,10.328,118.049,,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,5.625,37.791,,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,6.979,9.523,280,,Industrial & Commercial Services,68
Acma,AYV,ACMA.SI,2.798,62.687,,,Industrial Goods,67
Acromec,43F,ACRO.SI,11.917,23.101,,,Industrial & Commercial Services,61
Addvalue Tech,A31,AVAU.SI,47.225,10.929,22.58,,Technology Equipment,56
Advanced,BLZ,ADVA.SI,9.006,59.137,3.15,,Energy - Fossil Fuels,64
Advanced Systems,5TY,ADSA.SI,22.324,0,,,Technology Equipment,68
Advancer Global,43Q,ADVN.SI,42.902,,,8.12,Industrial & Commercial Services,80
Adventus,5EF,ADVE.SI,31.21,,,,Industrial Goods,58
Aedge Group,XVG,AEDE.SI,23.85,,,,Industrial & Commercial Services,
AEI,AWG,AEIC.SI,80.23,,,,Mineral Resources,39
AEM,AWX,AEM.SI,1124.078,518.959,11.31,2.25,Technology Equipment,89
AF Global,L38,AFGL.SI,88.674,10.689,,,Cyclical Consumer Services,66
AGV,1A4,AGVG.SI,15.343,10.265,,,Mineral Resources,55
AIMS APAC Reit,O5RU,AIMA.SI,968.128,118.092,37.11,,Real Estate,86.3
