"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"RY","Royal Bank of Canada",112.57,2.69,2.448125,110.79,112.68,110.15,112.3,112.59,111.999004,4863410,3.838,0.8205299973487854,160395735531,1424357080,8.09000015,13.6,1.934,113.39,72,112.2351,74.4193,14465101,619843,4525955
"TD","Toronto-Dominion Bank",79.51,1.16,1.480536,78.9,79.54,78.4,79.51,79.55,79.1266615,9189091,3.974,0.8902729749679565,144390160000,1818465737,6.57999992,11.9,1.608,79.95,49.01,79.3083,50.1794,22112787,1482688,6165425
"CNR","Canadian National Railway Company",141.92,4.05,2.93755,139.12,142.4,138.3,141.5,142.3,141.506006,2259873,1.733,0.6102889776229858,100805776000,711675952,5.01999998,28.2,5.129,149.11,92.02,147.9071,96.8899,6374902,161568,1460493
"BNS","Bank of Nova Scotia",77.43,1.16,1.520913,76.91,77.61,76.81,77.4,77.59,77.3407843,3628845,4.649,0.9098830223083496,93879848640,1212695318,5.44000005,14.1,1.481,77.62,46.39,77.3408,47.4975,15442568,988310,4787775
"ENB","Enbridge Inc.",44.83,0.24,0.538237,44.96,45.185,44.5,44.78,44.87,44.8506405,11125889,7.45,0.9505410194396973,90802967882,2025544556,1.48000001,29.9,1.694,51.94,33.07,51.5375,34.7006,31432706,621747,8253404
"BAM.A","Brookfield Asset Management Inc. Class A Limited Voting Shares",52.66,0.93,1.797796,52.15,52.945,51.58,52.5,52.79,52.4243515,1606254,1.254,1.3220020532608032,79497416699,1575876548,-0.209999993,-251.8,1.975,56.15,31.35,55.6678,33.6425,11798648,325625,2297581
"BMO","Bank of Montreal",108.11,1.56,1.464101,107.55,108.6,107.36,107.94,108.15,107.976741,2394636,3.922,1.1817950010299683,69933133646,646949486,8.30000019,12.9,1.39,108.6,55.76,107.9765,57.9302,11609715,384729,3239728
"CNU","CNOOC Limited american depositary receipts",150,9,6.382979,150,150,150,141,175,150,125,3.997,1.6089580059051514,66971183850,2855284,0.170000001,8.6,0.773,165.56,110,165.02,110.2675,3660,1,156
"CP","Canadian Pacific Railway Limited",459.1,14.16,3.182451,450.13,459.63,442.94,456,459.11,454.300976,277112,0.828,0.7086600065231323,61196761048,133284501,18.0499992,25.6,8.361,482.74,252,477.6583,263.514,1627816,34625,331857
"NGT","Newmont Corporation",71.7,1.41,2.005975,70.4,72.11,69.87,71.5,72.05,71.152086,191282,3.9,0.15313099324703217,57382529789,801328947,5.07000017,15.7,1.964,96.45,44,95.4974,55.3965,686572,15772,152778
"CM","Canadian Imperial Bank Of Commerce",122.52,1.3,1.07243,122.01,123.13,121.6,122.41,122.68,122.518358,3608277,4.767,0.9764019846916199,54870533605,447872661,9.15999984,13.1,1.437,123.13,67.52,122.5184,70.1815,7850657,575737,2324489
"TRI","Thomson Reuters Corporation",109.32,0.12,0.10989,109.69,110.255,108.25,109.11,109.34,109.273726,619935,1.869,0.29830101132392883,54141300869,495255222,2.97000002,37.8,4.272,115.67,75.92,112.8037,77.8143,3020106,102197,570669
"TRP","TC Energy Corporation",56.94,0.84,1.497326,56.7,57.24,56.16,56.88,57.08,56.8006326,3908670,6.112,0.7083989977836609,53527246551,978019135,4.73000001,11.6,1.952,74.06,47.05,73.1756,49.33,26916259,287304,3599344
"MFC","Manulife Financial Corporation",26.79,1.02,3.958091,25.99,26.83,25.97,26.75,26.82,26.5992692,10669271,4.181,1.2866460084915161,51984888278,1941257811,2.93000006,8.9,1.089,26.83,12.58,26.5993,13.1471,28487468,817243,7882719
"BCE","BCE Inc.",56.93,1.21,2.171572,55.82,57.09,55.81,56.92,57,56.4553256,9038102,6.148,0.26212000846862793,51487492000,904424391,2.75999999,20.1,3.031,63.91,46.03,62.8921,47.9413,11474982,416850,3053123
"CNQ","Canadian Natural Resources Limited",39.28,0.92,2.398332,39.18,40.41,38.65,39.21,39.35,39.3724818,6969011,4.786,2.277254104614258,46391958240,1185569495,-0.479999989,-75.4,1.443,40.41,9.81,39.3726,10.851,36099039,884382,7615621
"ATD.A","Alimentation Couche-Tard Inc. Class A Multiple Voting Shares",40.58,0.69,1.729757,39.93,40.71,39.92,40.45,40.6,40.398666,35164,0.862,0.8133900165557861,45163440715,253803700,3.3499999,11.4,2.984,47.57,30.57,47.1013,32.3281,484642,1490,23616
"ATD.B","Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares",40.33,0.6,1.510194,39.67,40.54,39.64,40.3,40.42,40.1891279,2885106,0.843,0.828125,44885203648,845218046,3.47000002,11.3,2.965,47.5,30.4,47.0927,32.0996,25163394,375864,2236115
"ABX","Barrick Gold Corporation",25.11,0.35,1.41357,24.83,25.15,24.37,25.03,25.12,24.8702497,4188301,1.821,0.05550599843263626,44650348238,1778189894,1.69000005,14.8,1.506,41.1,17.53,40.0148,21.7346,20832708,678616,5184875
"SU","Suncor Energy Inc.",27.82,0.93,3.458535,27.6,28.33,27.58,27.82,27.88,27.9141487,17130831,3.019,1.975680947303772,42358242201,1525150794,-2.82999992,-9.2,1.185,35.55,14.03,34.8822,14.8131,34863477,1246989,10390306
"NTR","Nutrien Ltd.",69.03,1.65,2.448798,68.26,69.37,67.05,68.7,69.12,68.5955356,1063396,3.385,0.7372009754180908,39332628068,569368963,1.05999994,66.2,1.385,73.24,34.8,71.8056,36.5696,8684425,233469,1627251
"SLF","Sun Life Financial Inc.",63.07,0.67,1.073718,62.66,63.48,62.43,63,63.15,63.0667988,5416414,3.488,1.0122729539871216,36904136486,585129800,4.11000013,15.4,1.508,63.96,35.44,63.2698,36.1232,25162437,218510,2281994
"CSU","Constellation Software Inc.",1671.09,47.94,2.953516,1635.5,1695.58,1614.78,1655.72,1675.61,1659.44756,42136,0.304,0.6768180131912231,35412953868,21191530,26.6100006,62.8,26.665,1789.63,1076.34,1766.154,1130.152,238111,8781,49363
"T","TELUS Corporation",26.36,0.51,1.972921,25.94,26.48,25.94,26.35,26.45,26.3047617,3383031,4.722,0.5293869972229004,34188920000,1297494021,0.949999988,27.4,2.831,27.55,18.55,27.3137,20.2675,11199787,487628,2761052
"WCN","Waste Connections Inc.",128.72,2.63,2.085812,126.47,128.91,125.65,128.05,128.83,127.823903,392827,0.81,0.6332659721374512,33754641028,262699256,2.94000005,124,3.876,143.84,100.56,142.7331,104.6238,1811585,48184,395500
"MG","Magna International Inc.",111.01,3.22,2.98729,109.35,111.35,104.57,110.48,111.34,108.478026,1228041,1.965,1.5638339519500732,33361548450,302015357,3.21000003,34,2.311,113.31,33.23,111.9577,35.6427,3739620,121606,1005962
"RCI.A","Rogers Communications Inc. Class A Shares",60.5,1.5,2.542373,59.41,60.51,59.41,58.45,62,60.0512568,18651,3.306,0.1687999963760376,30547981739,111154811,3.18000006,18.9,3.191,65.75,50,65.4515,51.6076,18651,20,1624
"RCI.B","Rogers Communications Inc. Class B Non-voting Shares",59.71,2.47,4.315164,57.31,59.85,57.31,59.19,59.79,59.2991254,3631449,3.35,0.2958590090274811,30149090738,393770507,3.15000009,17.9,3.149,65.98,46.82,64.4876,49.4888,5234460,180381,1217504
"GWO","Great-West Lifeco Inc.",31.54,-0.28,-0.87995,32.07,32.07,31.43,31.49,31.55,31.7694999,1695342,5.555,0.8503829836845398,29267273522,927995256,3.17000007,10.2,1.373,33.85,18.88,33.2921,19.842,22727330,201373,1280107
"QSP.UN","Restaurant Brands International Limited Partnership",79.43,0,0,,,,78.54,82.82,79.43,0,3.39,1.255223035812378,28365994339,155113338,2.10999989,35.8,6.008,81.02,37.8,81.01,40.4199,136690,1,2487
"NA","National Bank of Canada",83.51,0.52,0.626581,83.69,83.86,82.13,83.5,83.51,83.3800774,1730566,3.401,1.1356730461120605,28124905663,336772276,5.73000001,14.2,2.094,83.88,38.67,83.3801,40.2826,7381546,307801,1665598
"FNV","Franco-Nevada Corporation",138.65,1.26,0.917097,137.24,138.94,134.76,138.35,138.88,137.350772,426047,0.953,0.42903900146484375,26458820196,190956476,1.77999997,79,3.992,222.15,105.93,219.1589,124.7868,2542797,64022,557831
"GIB.A","CGI Inc. Class A Subordinate Voting Shares",97.01,1.26,1.315927,96.11,97.83,95.66,96.71,97.5,96.8633136,697601,,1.0133370161056519,24618890375,220257286,4.51999998,21.8,3.432,104.38,67.24,103.7962,69.1994,3490205,96790,637345
"QSR","Restaurant Brands International Inc.",79.06,-0.3,-0.378024,79.11,79.51,77.79,78.82,79.23,78.6429842,778496,3.405,1.280344009399414,23964134257,303520955,2.46000003,31.8,-20.642,82.13,36.48,81.4129,41.3489,3648337,105409,971740
"FTS","Fortis Inc.",50.21,0.14,0.279609,50.06,50.39,49.82,50.2,50.21,50.1802827,2054130,4.023,0.05821499973535538,23438028000,466770392,2.5999999,19.2,1.373,58.82,41.53,58.2788,43.6995,7595941,234992,1898268
"POW.PR.E","Power Corporation of Canada Participating Preferred Shares",33.25,0,0,,,,30.5,33.5,,0,5.383,0.22383199632167816,22526588186,54860866,,13.2,1.102,35,30,34.8612,30,1100,20,24
"L","Loblaw Companies Limited",64.7,0.75,1.172791,64.13,64.94,63.8,64.51,64.84,64.5736532,969992,2.071,-0.1212719976902008,22474287756,347361480,3.07999992,20.4,2.087,77,59.01,75.1808,60.7691,3783877,187814,745485
"IMO","Imperial Oil Limited",30,0.82,2.810144,29.7,30.36,29.4,29.9,30.05,29.9479286,1440272,2.933,2.1095919609069824,22022302650,737507812,-2.52999997,-11.1,1.028,30.37,10.28,29.948,11.0751,6073904,160457,1591038
"IFC","Intact Financial Corporation",149.85,3.08,2.098521,147.27,149.98,146.65,149.5,149.99,149.262476,352162,2.216,0.6755759716033936,21431267380,143018134,7.1999998,20.3,2.549,157.75,104.81,156.3971,108.4079,1315659,53758,349744
"POW","Power Corporation of Canada Subordinate Voting Shares",31.26,0.07,0.224431,31.22,31.59,31.065,31.26,31.31,31.3011249,2759577,5.726,0.9895650148391724,21178380351,622610508,2.51999998,12.5,1.036,31.99,17.47,31.6567,18.0622,13884793,394908,2318649
"CVE","Cenovus Energy Inc.",10.4,0.44,4.417671,10.2,10.55,10.11,10.35,10.4,10.3075576,10298045,0.673,3.8202109336853027,20980834222,2017312315,-1.94000005,-5.4,1.256,10.56,2.06,10.3076,2.343,32766411,1233944,7665820
"WPM","Wheaton Precious Metals Corp.",45.86,0.7,1.550044,45.3,45.94,44.41,45.79,45.97,45.3142407,840923,1.361,0.3138279914855957,20604002629,449458394,1.28999996,36.2,2.881,76.7,26.99,75.1363,33.0203,8936003,143485,1357531
"BPY.UN","Brookfield Property Partners L.P.",21.93,0.26,1.199815,21.67,22,21.54,21.85,21.96,21.8128367,732695,7.754,1.618319034576416,20377746771,436018529,-3.13000011,-7,0.622,23.4,10.06,23.1595,10.5279,8348034,332278,1380634
"PPL","Pembina Pipeline Corporation",36.21,1.32,3.783319,35.35,36.3,35.28,36.13,36.22,35.981674,3023100,6.959,1.726402997970581,19913667195,549946917,-0.850000023,-42.6,1.658,48.55,15.28,47.9294,18.1935,12423590,276620,2650415
"BIP.UN","Brookfield Infrastructure Partners L.P.",65.38,0.82,1.270136,64.59,65.93,64.46,65.12,65.61,65.3681951,297131,3.99,0.8272640109062195,19315212550,295450304,0.419999986,152.7,2.827,71.28,37.46,70.763,42.1991,2297116,53613,441286
"FM","First Quantum Minerals Ltd.",26.92,0.83,3.181296,26.8,26.97,24.96,26.89,26.92,26.2452814,2902178,0.037,2.276634931564331,18524432680,690366726,-0.360000014,-78.5,1.644,31.57,4.72,30.7614,4.9984,15249774,562338,3189927
"NCM","Newcrest Mining Limited",22.4,-0.66,-2.862099,23.06,23.15,22.4,20.01,26.75,22.9175,480,1.701,-0.921218991279602,18290866362,816556534,,,1.52,31.25,22.4,31.114,22.9175,5650,11,236
"AEM","Agnico Eagle Mines Limited",72.38,1.08,1.514727,71.99,72.49,70.46,72.35,72.49,71.6156073,707289,2.456,0.6878809928894043,17610140494,243464406,2.77999997,26,2.445,117.35,43.25,114.199,51.5886,3211689,142682,850062
"TECK.A","Teck Resources Limited Class A Multiple Voting Shares",31.5,-0.25,-0.787402,32,33.35,30.5,31.25,33.5,31.4228571,7855,0.635,1.2560410499572754,16713900000,7765503,-3.46000003,-19.9,0.834,34.75,9,33.5386,10.9982,33370,35,3916
"H","Hydro One Limited",27.34,0.39,1.447124,26.95,27.55,26.87,27.32,27.4,27.2695148,1072619,3.71,0.1443839967250824,16338706257,597611787,2.96000003,9.2,1.551,30.57,20.25,30.3048,21.7907,4233319,129908,1062034
"CDAY","Ceridian HCM Holding Inc.",106.71,1.9,1.812804,106.72,107.16,99.3,105.76,107.16,103.06501,43459,,1.2767119407653809,15878627166,146576497,0.709999978,-3490.8,5.958,142.17,55.09,139.9478,56.6787,82573,1830,21141
"OTEX","Open Text Corporation",57.36,0.93,1.648059,56.76,57.71,55.77,57.3,57.54,56.9565667,645590,1.796,0.8969209790229797,15647041785,272786642,0.419999986,137.2,3.079,64,42.3,62.9991,43.3515,2807981,90826,669888
"DOL","Dollarama Inc.",49.88,0.68,1.382114,49.28,49.99,48.99,49.79,49.95,49.6384608,652468,0.377,0.9204649925231934,15521695162,310266429,1.83000004,27.3,59.381,55.46,34.71,54.952,35.7083,3342650,129815,856351
